Date,Close
01/01/2020 15:30:00,184.45
02/01/2020 15:30:00,193.75
03/01/2020 15:30:00,191.1
06/01/2020 15:30:00,185.65
07/01/2020 15:30:00,184.7
08/01/2020 15:30:00,182.55
09/01/2020 15:30:00,192
10/01/2020 15:30:00,196.35
13/01/2020 15:30:00,196.25
14/01/2020 15:30:00,195.85
15/01/2020 15:30:00,200.35
16/01/2020 15:30:00,197.55
17/01/2020 15:30:00,197.3
20/01/2020 15:30:00,195
21/01/2020 15:30:00,191.4
22/01/2020 15:30:00,185.6
23/01/2020 15:30:00,188.4
24/01/2020 15:30:00,186.5
27/01/2020 15:30:00,182.2
28/01/2020 15:30:00,176.1
29/01/2020 15:30:00,188.05
30/01/2020 15:30:00,186.2
31/01/2020 15:30:00,176.6
01/02/2020 17:00:00,164.8
03/02/2020 15:30:00,163.85
04/02/2020 15:30:00,165.7
05/02/2020 15:30:00,183.75
06/02/2020 15:30:00,178.85
07/02/2020 15:30:00,173.6
10/02/2020 15:30:00,168.9
11/02/2020 15:30:00,169.75
12/02/2020 15:30:00,170.95
13/02/2020 15:30:00,169.5
14/02/2020 15:30:00,169.1
17/02/2020 15:30:00,169.1
18/02/2020 15:30:00,161.6
19/02/2020 15:30:00,158.05
20/02/2020 15:30:00,158.5
24/02/2020 15:30:00,150.65
25/02/2020 15:30:00,149.9
26/02/2020 15:30:00,144.55
27/02/2020 15:30:00,145.25
28/02/2020 15:30:00,128.95
02/03/2020 15:30:00,125.4
03/03/2020 15:30:00,130.35
04/03/2020 15:30:00,126.2
05/03/2020 15:30:00,125.75
06/03/2020 15:30:00,114.2
09/03/2020 15:30:00,105.7
11/03/2020 15:30:00,98.9
12/03/2020 15:30:00,88
13/03/2020 15:30:00,89.75
16/03/2020 15:30:00,82.95
17/03/2020 15:30:00,77.95
18/03/2020 15:30:00,75.5
19/03/2020 15:30:00,72.95
20/03/2020 15:30:00,77.3
23/03/2020 15:30:00,66.2
24/03/2020 15:30:00,68.55
25/03/2020 15:30:00,70.25
26/03/2020 15:30:00,70.8
27/03/2020 15:30:00,70.7
30/03/2020 15:30:00,68.15
31/03/2020 15:30:00,71.05
01/04/2020 15:30:00,67.95
03/04/2020 15:30:00,65.3
07/04/2020 15:30:00,67.25
08/04/2020 15:30:00,67.6
09/04/2020 15:30:00,74.6
13/04/2020 15:30:00,74.25
15/04/2020 15:30:00,72.9
16/04/2020 15:30:00,74.65
17/04/2020 15:30:00,76.85
20/04/2020 15:30:00,80.45
21/04/2020 15:30:00,74.65
22/04/2020 15:30:00,75.9
23/04/2020 15:30:00,75.65
24/04/2020 15:30:00,74.2
27/04/2020 15:30:00,75.25
28/04/2020 15:30:00,76.95
29/04/2020 15:30:00,78.15
30/04/2020 15:30:00,93.25
04/05/2020 15:30:00,83.9
05/05/2020 15:30:00,80.9
06/05/2020 15:30:00,83.2
07/05/2020 15:30:00,82.5
08/05/2020 15:30:00,81.05
11/05/2020 15:30:00,86.1
12/05/2020 15:30:00,86.2
13/05/2020 15:30:00,87.2
14/05/2020 15:30:00,83.8
15/05/2020 15:30:00,84.35
18/05/2020 15:30:00,80.65
19/05/2020 15:30:00,81.8
20/05/2020 15:30:00,83.45
21/05/2020 15:30:00,84.1
22/05/2020 15:30:00,82.8
26/05/2020 15:30:00,83.1
27/05/2020 15:30:00,84.55
28/05/2020 15:30:00,87
29/05/2020 15:30:00,87
01/06/2020 15:30:00,89.55
02/06/2020 15:30:00,96.5
03/06/2020 15:30:00,98.75
04/06/2020 15:30:00,98.5
05/06/2020 15:30:00,110.75
08/06/2020 15:30:00,115.45
09/06/2020 15:30:00,111.45
10/06/2020 15:30:00,111.4
11/06/2020 15:30:00,106.15
12/06/2020 15:30:00,105.3
15/06/2020 15:30:00,100.5
16/06/2020 15:30:00,94.75
17/06/2020 15:30:00,95.4
18/06/2020 15:30:00,96.35
19/06/2020 15:30:00,102.5
22/06/2020 15:30:00,102.65
23/06/2020 15:30:00,104.4
24/06/2020 15:30:00,104.8
25/06/2020 15:30:00,103.8
26/06/2020 15:30:00,101.4
29/06/2020 15:30:00,99.45
30/06/2020 15:30:00,98.25
01/07/2020 15:30:00,100.75
02/07/2020 15:30:00,101.55
03/07/2020 15:30:00,103.45
06/07/2020 15:30:00,109
07/07/2020 15:30:00,109.05
08/07/2020 15:30:00,105.35
09/07/2020 15:30:00,106.95
10/07/2020 15:30:00,107.6
13/07/2020 15:30:00,108
14/07/2020 15:30:00,105.15
15/07/2020 15:30:00,103.2
16/07/2020 15:30:00,102.95
17/07/2020 15:30:00,106.4
20/07/2020 15:30:00,105.05
21/07/2020 15:30:00,108.45
22/07/2020 15:30:00,105.15
23/07/2020 15:30:00,106.05
24/07/2020 15:30:00,103.75
27/07/2020 15:30:00,101.7
28/07/2020 15:30:00,106.45
29/07/2020 15:30:00,105.75
30/07/2020 15:30:00,103.65
31/07/2020 15:30:00,104.65
03/08/2020 15:30:00,113.05
04/08/2020 15:30:00,111.45
05/08/2020 15:30:00,115.4
06/08/2020 15:30:00,116.8
07/08/2020 15:30:00,119.1
10/08/2020 15:30:00,123.85
11/08/2020 15:30:00,122.3
12/08/2020 15:30:00,125.35
13/08/2020 15:30:00,131.15
14/08/2020 15:30:00,124.6
17/08/2020 15:30:00,123.55
18/08/2020 15:30:00,125.6
19/08/2020 15:30:00,125.15
20/08/2020 15:30:00,121.7
21/08/2020 15:30:00,120.9
24/08/2020 15:30:00,121.2
25/08/2020 15:30:00,127.1
26/08/2020 15:30:00,137.9
27/08/2020 15:30:00,144.25
28/08/2020 15:30:00,142.8
31/08/2020 15:30:00,143.2
01/09/2020 15:30:00,143.8
02/09/2020 15:30:00,150.3
03/09/2020 15:30:00,151.85
04/09/2020 15:30:00,147.8
07/09/2020 15:30:00,149.4
08/09/2020 15:30:00,142.3
09/09/2020 15:30:00,140.1
10/09/2020 15:30:00,143.3
11/09/2020 15:30:00,144.3
14/09/2020 15:30:00,148.55
15/09/2020 15:30:00,148.4
16/09/2020 15:30:00,151.45
17/09/2020 15:30:00,147.65
18/09/2020 15:30:00,147.9
21/09/2020 15:30:00,137.45
22/09/2020 15:30:00,133.1
23/09/2020 15:30:00,131.4
24/09/2020 15:30:00,122.8
25/09/2020 15:30:00,127.25
28/09/2020 15:30:00,132.85
29/09/2020 15:30:00,131.7
30/09/2020 15:30:00,133.3
01/10/2020 15:30:00,133.5
05/10/2020 15:30:00,133.9
06/10/2020 15:30:00,144.75
07/10/2020 15:30:00,141
08/10/2020 15:30:00,140.95
09/10/2020 15:30:00,138.45
12/10/2020 15:30:00,135.9
13/10/2020 15:30:00,134.1
14/10/2020 15:30:00,130.7
15/10/2020 15:30:00,126.95
16/10/2020 15:30:00,127.75
19/10/2020 15:30:00,128.25
20/10/2020 15:30:00,129.65
21/10/2020 15:30:00,130.25
22/10/2020 15:30:00,133.5
23/10/2020 15:30:00,137
26/10/2020 15:30:00,133.7
27/10/2020 15:30:00,135.65
28/10/2020 15:30:00,134.8
29/10/2020 15:30:00,131.9
30/10/2020 15:30:00,132.65
02/11/2020 15:30:00,132.85
03/11/2020 15:30:00,134.1
04/11/2020 15:30:00,135.9
05/11/2020 15:30:00,137.65
06/11/2020 15:30:00,139
09/11/2020 15:30:00,141
10/11/2020 15:30:00,146
11/11/2020 15:30:00,150.95
12/11/2020 15:30:00,151.2
13/11/2020 15:30:00,146.35
17/11/2020 15:30:00,158
18/11/2020 15:30:00,173.5
19/11/2020 15:30:00,167.95
20/11/2020 15:30:00,169.1
23/11/2020 15:30:00,170.7
24/11/2020 15:30:00,172.05
25/11/2020 15:30:00,171.45
26/11/2020 15:30:00,173.75
27/11/2020 15:30:00,180.35
01/12/2020 15:30:00,179.75
02/12/2020 15:30:00,183.6
03/12/2020 15:30:00,184.85
04/12/2020 15:30:00,184.15
07/12/2020 15:30:00,183.55
08/12/2020 15:30:00,181.8
09/12/2020 15:30:00,182.7
10/12/2020 15:30:00,177.6
11/12/2020 15:30:00,178.85
14/12/2020 15:30:00,177.65
15/12/2020 15:30:00,178.9
16/12/2020 15:30:00,182.55
