Date,Close
01/01/2020 15:30:00,736.85
02/01/2020 15:30:00,734.7
03/01/2020 15:30:00,746
06/01/2020 15:30:00,738.85
07/01/2020 15:30:00,727.9
08/01/2020 15:30:00,718.2
09/01/2020 15:30:00,727.55
10/01/2020 15:30:00,738.15
13/01/2020 15:30:00,773.55
14/01/2020 15:30:00,775.65
15/01/2020 15:30:00,767.55
16/01/2020 15:30:00,767
17/01/2020 15:30:00,767.85
20/01/2020 15:30:00,768.45
21/01/2020 15:30:00,762.5
22/01/2020 15:30:00,770.2
23/01/2020 15:30:00,784.35
24/01/2020 15:30:00,782.75
27/01/2020 15:30:00,778.1
28/01/2020 15:30:00,778
29/01/2020 15:30:00,789.7
30/01/2020 15:30:00,780.7
31/01/2020 15:30:00,775.95
01/02/2020 17:00:00,776.05
03/02/2020 15:30:00,767.4
04/02/2020 15:30:00,787.85
05/02/2020 15:30:00,784.55
06/02/2020 15:30:00,771.35
07/02/2020 15:30:00,777.3
10/02/2020 15:30:00,773.2
11/02/2020 15:30:00,773.55
12/02/2020 15:30:00,781.05
13/02/2020 15:30:00,792.25
14/02/2020 15:30:00,786.45
17/02/2020 15:30:00,789.45
18/02/2020 15:30:00,797.65
19/02/2020 15:30:00,800.45
20/02/2020 15:30:00,797
24/02/2020 15:30:00,795.85
25/02/2020 15:30:00,798.4
26/02/2020 15:30:00,782.75
27/02/2020 15:30:00,777.85
28/02/2020 15:30:00,731.7
02/03/2020 15:30:00,741.05
03/03/2020 15:30:00,747
04/03/2020 15:30:00,758.75
05/03/2020 15:30:00,754.6
06/03/2020 15:30:00,738.95
09/03/2020 15:30:00,704.45
11/03/2020 15:30:00,686
12/03/2020 15:30:00,631.2
13/03/2020 15:30:00,642.35
16/03/2020 15:30:00,583.15
17/03/2020 15:30:00,554.95
18/03/2020 15:30:00,534.3
19/03/2020 15:30:00,545.55
20/03/2020 15:30:00,585.2
23/03/2020 15:30:00,526.45
24/03/2020 15:30:00,589.8
25/03/2020 15:30:00,606.2
26/03/2020 15:30:00,643
27/03/2020 15:30:00,652.7
30/03/2020 15:30:00,626.7
31/03/2020 15:30:00,641.5
01/04/2020 15:30:00,602.8
03/04/2020 15:30:00,585.7
07/04/2020 15:30:00,639
08/04/2020 15:30:00,631.6
09/04/2020 15:30:00,636.25
13/04/2020 15:30:00,637.4
15/04/2020 15:30:00,639.05
16/04/2020 15:30:00,623.85
17/04/2020 15:30:00,628.75
20/04/2020 15:30:00,653.3
21/04/2020 15:30:00,633.2
22/04/2020 15:30:00,641.85
23/04/2020 15:30:00,679.3
24/04/2020 15:30:00,658
27/04/2020 15:30:00,664.6
28/04/2020 15:30:00,660.7
29/04/2020 15:30:00,676.55
30/04/2020 15:30:00,715.5
04/05/2020 15:30:00,673.7
05/05/2020 15:30:00,673.7
06/05/2020 15:30:00,665.9
07/05/2020 15:30:00,664.95
08/05/2020 15:30:00,674.2
11/05/2020 15:30:00,682.9
12/05/2020 15:30:00,687.65
13/05/2020 15:30:00,694.15
14/05/2020 15:30:00,658.15
15/05/2020 15:30:00,652.3
18/05/2020 15:30:00,663.9
19/05/2020 15:30:00,668.6
20/05/2020 15:30:00,669.55
21/05/2020 15:30:00,672.2
