Date,Close
01/01/2020 15:30:00,238.1
02/01/2020 15:30:00,239.85
03/01/2020 15:30:00,238.5
06/01/2020 15:30:00,235.1
07/01/2020 15:30:00,235.35
08/01/2020 15:30:00,234.2
09/01/2020 15:30:00,235.8
10/01/2020 15:30:00,238
13/01/2020 15:30:00,239.25
14/01/2020 15:30:00,243.25
15/01/2020 15:30:00,242.4
16/01/2020 15:30:00,240.75
17/01/2020 15:30:00,239.95
20/01/2020 15:30:00,241.9
21/01/2020 15:30:00,238.45
22/01/2020 15:30:00,238.05
23/01/2020 15:30:00,237.9
24/01/2020 15:30:00,238.15
27/01/2020 15:30:00,234.6
28/01/2020 15:30:00,230.75
29/01/2020 15:30:00,236.65
30/01/2020 15:30:00,234.05
31/01/2020 15:30:00,235.15
01/02/2020 17:00:00,218.45
03/02/2020 15:30:00,207.6
04/02/2020 15:30:00,215.65
05/02/2020 15:30:00,216.45
06/02/2020 15:30:00,213.55
07/02/2020 15:30:00,213.4
10/02/2020 15:30:00,210.55
11/02/2020 15:30:00,212.6
12/02/2020 15:30:00,213.05
13/02/2020 15:30:00,211.9
14/02/2020 15:30:00,207.7
17/02/2020 15:30:00,204.8
18/02/2020 15:30:00,203.85
19/02/2020 15:30:00,206.7
20/02/2020 15:30:00,207.45
24/02/2020 15:30:00,203
25/02/2020 15:30:00,201.8
26/02/2020 15:30:00,198.6
27/02/2020 15:30:00,197.55
28/02/2020 15:30:00,197.55
02/03/2020 15:30:00,195.3
03/03/2020 15:30:00,193.85
04/03/2020 15:30:00,187.5
05/03/2020 15:30:00,188.05
06/03/2020 15:30:00,181.75
09/03/2020 15:30:00,177.2
11/03/2020 15:30:00,175.65
12/03/2020 15:30:00,155.8
13/03/2020 15:30:00,162.25
16/03/2020 15:30:00,147.25
17/03/2020 15:30:00,149.15
18/03/2020 15:30:00,150.7
19/03/2020 15:30:00,161.85
20/03/2020 15:30:00,175.5
23/03/2020 15:30:00,154.3
24/03/2020 15:30:00,149.7
25/03/2020 15:30:00,147.35
26/03/2020 15:30:00,156.4
27/03/2020 15:30:00,163.2
30/03/2020 15:30:00,159.2
31/03/2020 15:30:00,171.7
01/04/2020 15:30:00,166.4
03/04/2020 15:30:00,177.9
07/04/2020 15:30:00,181.55
08/04/2020 15:30:00,178.65
09/04/2020 15:30:00,185.25
13/04/2020 15:30:00,181.6
15/04/2020 15:30:00,189.35
16/04/2020 15:30:00,186.35
17/04/2020 15:30:00,188.1
20/04/2020 15:30:00,180.7
21/04/2020 15:30:00,179.6
22/04/2020 15:30:00,182.25
